,T1,T2,C3,C4
309,0.11316530101474867,0.2763437606204117,0.06833100937628336,0.11970283261877517
318,0.1159322741843403,0.13366354197609182,0.020133389559767668,0.01898762274023836
349,0.10338325418944151,0.10089496836540923,0.03334464522378215,0.028836806291648753
366,0.07488563408016609,0.041278152462650736,0.04782386180073832,0.04614061160619048
369,0.16324966367753718,0.16632321253503518,0.10304108617299998,0.07297975750405264
374,0.04487821168663572,0.05566454902729994,0.0320098103528285,0.01867262618961974
376,0.1476397933745766,0.0824014951688041,0.043484022520289704,0.06076621553951942
378,-0.010273315094708534,0.01951236376094492,-0.005043922831466138,0.006853582921390726
387,0.057076476907267186,0.0272417662287921,0.02960173807113173,0.031072858395841757
422,0.047594346264114754,0.06547181529321587,0.06157299486815222,0.05739696569219409
423,0.09747772327371362,0.07406077763557865,0.044264166726447805,0.055712543273856406
426,0.07551254988231351,0.06710099622510038,0.05884540611972072,0.03922082117791652
435,-0.007148776746261671,0.0025377515605753548,0.026329425393671356,0.011286156702395436
439,0.023895907530395097,0.005061342801661768,0.02487536230995945,0.02030557570216746
440,-0.023518909164465633,-0.027017785361918675,-0.013773382438957147,-0.027302980801765762
444,0.14667250126527565,0.19308587026111335,0.12962158884288205,0.1414996145316791
446,-0.01976215582211714,-0.01551817650296855,0.000473120000750696,0.0003329662146943212
449,-0.06512375834088557,-0.05584252803621797,-0.018826853445721214,-0.04118279207698964
454,0.01655076222606612,-0.0024051821144634397,0.017535401817496625,0.031692790745428204
